06/03/2017 11:48:58:864 [08552] | INFO  | Initializing crosire's ReShade version '2.0.3.1120' built on '2016-04-03 19:20:33' loaded from "C:\Users\*******\Documents\Orikami_Build_0.40a\OPENGL32.dll" to "C:\Users\*******\Documents\Orikami_Build_0.40a\Orikami_Build_0.40a.exe" ...
06/03/2017 11:48:58:905 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d8.dll" ...
06/03/2017 11:48:58:943 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:943 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
06/03/2017 11:48:58:957 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:957 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
06/03/2017 11:48:58:966 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:967 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
06/03/2017 11:48:58:980 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:980 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
06/03/2017 11:48:58:981 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:981 [08552] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
06/03/2017 11:48:58:981 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:981 [08552] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
06/03/2017 11:48:58:982 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:982 [08552] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
06/03/2017 11:48:58:982 [08552] | INFO  | > Delayed.
06/03/2017 11:48:58:982 [08552] | INFO  | Registering hooks for "C:\Windows\system32\user32.dll" ...
06/03/2017 11:48:58:982 [08552] | INFO  | > Libraries loaded.
06/03/2017 11:48:58:984 [08552] | INFO  | > Found 5 match(es). Installing ...
06/03/2017 11:48:59:066 [08552] | INFO  | > Installed 5 hook(s).
06/03/2017 11:48:59:066 [08552] | INFO  | Registering hooks for "C:\Windows\system32\ws2_32.dll" ...
06/03/2017 11:48:59:066 [08552] | INFO  | > Libraries loaded.
06/03/2017 11:48:59:066 [08552] | INFO  | > Found 8 match(es). Installing ...
06/03/2017 11:48:59:137 [08552] | INFO  | > Installed 8 hook(s).
06/03/2017 11:48:59:137 [08552] | INFO  | Initialized.
06/03/2017 11:48:59:432 [08552] | INFO  | Installing delayed hooks for "C:\Windows\system32\opengl32.dll" ...
06/03/2017 11:48:59:433 [08552] | INFO  | > Found 360 match(es). Installing ...
06/03/2017 11:48:59:433 [08552] | INFO  | > Installed 360 hook(s).
06/03/2017 11:48:59:443 [08552] | INFO  | Redirecting 'RegisterClassExW(0045F898)' ...
06/03/2017 11:48:59:457 [08552] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d11.dll" (Just loaded via 'LoadLibraryA("d3d11.dll")') ...
06/03/2017 11:48:59:457 [08552] | INFO  | > Found 2 match(es). Installing ...
06/03/2017 11:48:59:523 [08552] | INFO  | > Installed 2 hook(s).
06/03/2017 11:48:59:523 [08552] | INFO  | Installing delayed hooks for "C:\Windows\system32\dxgi.dll" (Just loaded via 'LoadLibraryA("d3d11.dll")') ...
06/03/2017 11:48:59:523 [08552] | INFO  | > Found 6 match(es). Installing ...
06/03/2017 11:48:59:586 [08552] | INFO  | > Installed 6 hook(s).
06/03/2017 11:48:59:586 [08552] | INFO  | Redirecting 'CreateDXGIFactory1({7B7166EC-21C7-44AE-B21A-C9AE321AE369}, 022E6FC4)' ...
06/03/2017 11:48:59:591 [08552] | INFO  | Redirecting 'D3D11CreateDevice(0027A4F0, 0, 00000000, 0x1, 03886780, 3, 7, 022E6FFC, 0045F7D8, 022E6FBC)' ...
06/03/2017 11:48:59:591 [08552] | INFO  | > Passing on to 'D3D11CreateDeviceAndSwapChain':
06/03/2017 11:48:59:591 [08552] | INFO  | Redirecting 'D3D11CreateDeviceAndSwapChain(0027A4F0, 0, 00000000, 0x1, 03886780, 3, 7, 00000000, 00000000, 022E6FFC, 0045F7D8, 022E6FBC)' ...
06/03/2017 11:49:00:094 [08552] | INFO  | Redirecting 'CreateDXGIFactory({7B7166EC-21C7-44AE-B21A-C9AE321AE369}, 0045F1FC)' ...
06/03/2017 11:49:00:154 [08552] | INFO  | Redirecting 'RegisterRawInputDevices(0045F2CC, 1, 12)' ...
06/03/2017 11:49:03:264 [08552] | INFO  | Redirecting 'RegisterRawInputDevices(0045F8D0, 1, 12)' ...
06/03/2017 11:49:03:273 [08552] | INFO  | Redirecting 'IDXGIFactory2::CreateSwapChainForHwnd(00275690, 00281400, 00040CC6, 0045F630, 0045F660, 00000000, 022E6FD0)' ...
06/03/2017 11:49:03:274 [08552] | WARN  | > Multisampling is enabled. This is not compatible with depthbuffer access, which was therefore disabled.
06/03/2017 11:49:03:275 [08552] | INFO  | Starting input capture for window 00040CC6 ...
06/03/2017 11:49:03:305 [08552] | INFO  | Recreated runtime environment on runtime 09FD2410.
06/03/2017 11:49:03:306 [08552] | INFO  | Redirecting 'RegisterRawInputDevices(0045F7EC, 1, 12)' ...
06/03/2017 11:49:03:306 [08552] | INFO  | Redirecting 'RegisterRawInputDevices(0045F8C4, 1, 12)' ...
06/03/2017 11:49:03:394 [09756] | INFO  | Loading effect from "C:\Users\*******\Documents\Orikami_Build_0.40a\ReShade.fx" ...
06/03/2017 11:49:03:781 [09756] | INFO  | > Successfully compiled effect.
06/03/2017 12:08:14:039 [08552] | INFO  | Redirecting 'IDXGISwapChain::SetFullscreenState(09F43CD0, FALSE, 00000000)' ...
06/03/2017 12:08:14:039 [08552] | INFO  | Destroyed runtime environment on runtime 09FD2410.
06/03/2017 12:08:14:089 [08552] | WARN  | Reference count for 'IDXGIDevice' object 00301B80 is inconsistent: 8, but expected 1.
06/03/2017 12:08:14:089 [08552] | WARN  | Reference count for 'ID3D11Device1' object 00281400 is inconsistent: 6, but expected 0.
06/03/2017 12:08:14:191 [08552] | INFO  | Exiting ...
06/03/2017 12:08:14:191 [08552] | INFO  | Uninstalling 389 hook(s) ...
06/03/2017 12:08:14:395 [08552] | INFO  | Exited.
